KEGG Pathways	Sub-category 	Major-category
Chagas disease	Infectious disease: parasitic	Human Diseases
African trypanosomiasis	Infectious disease: parasitic	Human Diseases
beta-Lactam resistance	Drug resistance: antimicrobial	Human Diseases
Vancomycin resistance	Drug resistance: antimicrobial	Human Diseases
Cationic antimicrobial peptide (CAMP) resistance	Drug resistance: antimicrobial	Human Diseases
EGFR tyrosine kinase inhibitor resistance	Drug resistance: antineoplastic	Human Diseases
Platinum drug resistance	Drug resistance: antineoplastic	Human Diseases
Antifolate resistance	Drug resistance: antineoplastic	Human Diseases
Endocrine resistance	Drug resistance: antineoplastic	Human Diseases
Penicillins	Chronology: Antiinfectives	Drug Development
Cephalosporins - parenteral agents	Chronology: Antiinfectives	Drug Development
Cephalosporins - oral agents	Chronology: Antiinfectives	Drug Development
Aminoglycosides	Chronology: Antiinfectives	Drug Development
Tetracyclines	Chronology: Antiinfectives	Drug Development
Macrolides and ketolides	Chronology: Antiinfectives	Drug Development
Quinolones	Chronology: Antiinfectives	Drug Development
Rifamycins	Chronology: Antiinfectives	Drug Development
Antifungal agents	Chronology: Antiinfectives	Drug Development
Antiviral agents	Chronology: Antiinfectives	Drug Development
Anti-HIV agents	Chronology: Antiinfectives	Drug Development
Antineoplastics - alkylating agents	Chronology: Antineoplastics	Drug Development
Antineoplastics - antimetabolic agents	Chronology: Antineoplastics	Drug Development
Antineoplastics - agents from natural products	Chronology: Antineoplastics	Drug Development
Antineoplastics - hormones	Chronology: Antineoplastics	Drug Development
Antineoplastics - protein kinases inhibitors	Chronology: Antineoplastics	Drug Development
Hypnotics	Chronology: Nervous system agents	Drug Development
Anxiolytics	Chronology: Nervous system agents	Drug Development
Anticonvulsants	Chronology: Nervous system agents	Drug Development
Local analgesics	Chronology: Nervous system agents	Drug Development
Opioid analgesics	Chronology: Nervous system agents	Drug Development
Antipsychotics	Chronology: Nervous system agents	Drug Development
Antipsychotics - phenothiazines	Chronology: Nervous system agents	Drug Development
Antipsychotics - butyrophenones	Chronology: Nervous system agents	Drug Development
Antidepressants	Chronology: Nervous system agents	Drug Development
Agents for Alzheimer-type dementia	Chronology: Nervous system agents	Drug Development
Antiparkinsonian agents	Chronology: Nervous system agents	Drug Development
Sulfonamide derivatives - overview	Chronology: Other drugs	Drug Development
Sulfonamide derivatives - sulfa drugs	Chronology: Other drugs	Drug Development
Sulfonamide derivatives - diuretics	Chronology: Other drugs	Drug Development
Sulfonamide derivatives - hypoglycemic agents	Chronology: Other drugs	Drug Development
Antiarrhythmic drugs	Chronology: Other drugs	Drug Development
Antiulcer drugs	Chronology: Other drugs	Drug Development
Immunosuppressive agents	Chronology: Other drugs	Drug Development
Osteoporosis drugs	Chronology: Other drugs	Drug Development
Antimigraines	Chronology: Other drugs	Drug Development
Antithrombosis agents	Chronology: Other drugs	Drug Development
Antirheumatics - DMARDs and biological agents	Chronology: Other drugs	Drug Development
Antidiabetics	Chronology: Other drugs	Drug Development
Antidyslipidemic agents	Chronology: Other drugs	Drug Development
Antiglaucoma agents	Chronology: Other drugs	Drug Development
Cholinergic and anticholinergic drugs	Target-based classification: G protein-coupled receptors	Drug Development
alpha-Adrenergic receptor agonists/antagonists	Target-based classification: G protein-coupled receptors	Drug Development
beta-Adrenergic receptor agonists/antagonists	Target-based classification: G protein-coupled receptors	Drug Development
Dopamine receptor agonists/antagonists	Target-based classification: G protein-coupled receptors	Drug Development
Histamine H1 receptor antagonists	Target-based classification: G protein-coupled receptors	Drug Development
Histamine H2/H3 receptor agonists/antagonists	Target-based classification: G protein-coupled receptors	Drug Development
Serotonin receptor agonists/antagonists	Target-based classification: G protein-coupled receptors	Drug Development
Eicosanoid receptor agonists/antagonists	Target-based classification: G protein-coupled receptors	Drug Development
Opioid receptor agonists/antagonists	Target-based classification: G protein-coupled receptors	Drug Development
Angiotensin receptor and endothelin receptor antagonists	Target-based classification: G protein-coupled receptors	Drug Development
Glucocorticoid and mineralocorticoid receptor agonists/antagonists	Target-based classification: Nuclear receptors	Drug Development
Progesterone, androgen and estrogen receptor agonists/antagonists	Target-based classification: Nuclear receptors	Drug Development
Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists	Target-based classification: Nuclear receptors	Drug Development
Peroxisome proliferator-activated receptor (PPAR) agonists	Target-based classification: Nuclear receptors	Drug Development
Nicotinic cholinergic receptor antagonists	Target-based classification: Ion channels	Drug Development
GABA-A receptor agonists/antagonists	Target-based classification: Ion channels	Drug Development
Calcium channel blocking drugs	Target-based classification: Ion channels	Drug Development
Sodium channel blocking drugs	Target-based classification: Ion channels	Drug Development
Potassium channel blocking and opening drugs	Target-based classification: Ion channels	Drug Development
N-Metyl-D-aspartic acid receptor antagonists	Target-based classification: Ion channels	Drug Development
Ion transporter inhibitors	Target-based classification: Transporters	Drug Development
Neurotransmitter transporter inhibitors	Target-based classification: Transporters	Drug Development
Catecholamine transferase inhibitors	Target-based classification: Enzymes	Drug Development
Cyclooxygenase inhibitors	Target-based classification: Enzymes	Drug Development
HMG-CoA reductase inhibitors	Target-based classification: Enzymes	Drug Development
Renin-angiotensin system inhibitors	Target-based classification: Enzymes	Drug Development
HIV protease inhibitors	Target-based classification: Enzymes	Drug Development
Quinolines	Structure-based classification	Drug Development
Eicosanoids	Structure-based classification	Drug Development
Prostaglandins	Structure-based classification	Drug Development
Benzoic acid family	Skeleton-based classification	Drug Development
1,2-Diphenyl substitution family	Skeleton-based classification	Drug Development
Naphthalene family	Skeleton-based classification	Drug Development
Benzodiazepine family	Skeleton-based classification	Drug Development
