Description	Subcategory	Majorcategory	term_id	query_size	intersection_size	p_value	intersection	source
Oxytocin signaling pathway	Endocrine system	Organismal Systems	KEGG:04921	309	13	0.0120547658536864	RHOA,EGFR,HRAS,MYL6,PIK3CG,PLA2G4A,PRKAA2,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,PRKAG2	KEGG
p53 signaling pathway	Cell growth and death	Cellular Processes	KEGG:04115	309	11	0.00025776746099387	FAS,BCL2,CASP3,CASP8,CDK6,PTEN,TP53,TNFRSF10A,BBC3,PIDD1,AIFM2	KEGG
Pancreatic cancer	Cancer: specific types	Human Diseases	KEGG:05212	309	20	5.44974365637138e-11	BAD,BAK1,CDK6,EGFR,ERBB2,MTOR,JAK1,NFKB1,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RAC2,RALGDS,RPS6KB1,STAT3,TP53,AKT3	KEGG
Parathyroid hormone synthesis, secretion and action	Endocrine system	Organismal Systems	KEGG:04928	309	10	0.0138802643359424	RHOA,BCL2,RUNX2,EGFR,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,ARHGEF11	KEGG
Pathogenic Escherichia coli infection	Infectious disease: bacterial	Human Diseases	KEGG:05130	309	22	1.33588562768016e-05	FAS,RHOA,BAK1,CASP3,CASP7,CASP8,NFKB1,PAK1,PAK2,PAK3,MAPK1,MAPK3,MAPK9,MAPK10,TJP1,TNFRSF1A,EZR,NCK2,TNFRSF10A,ARHGEF11,ARHGEF12,TAB3	KEGG
Pathways in cancer	Cancer: overview	Human Diseases	KEGG:05200	309	71	8.23592335341045e-20	FAS,RHOA,BAD,BAK1,BCL2,CASP3,CASP7,CASP8,CDH1,CDK6,CSF1R,CSF2RB,CTNNA2,DCC,EGFR,ERBB2,FGFR4,MTOR,GRB2,HRAS,IFNAR1,IFNGR2,IGF1R,IGF2,IL2RA,IL2RB,IL3RA,IL6R,IL7,IL12A,IL12RB1,IL12RB2,IL13,ITGA6,JAK1,JAK2,KIT,LAMA2,LAMC2,MET,NFKB1,NTRK1,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,PTEN,RAC2,RALGDS,RPS6KB1,SOS1,STAT3,STK4,TP53,VEGFB,VEGFC,ARHGEF11,AKT3,BCL2L11,RASGRP1,ARHGEF12,FGF22,BBC3,IL23A,PLEKHG5,RASSF5,LAMA1	KEGG
PD-L1 expression and PD-1 checkpoint pathway in cancer	Cancer: overview	Human Diseases	KEGG:05235	309	19	5.4970869840658e-09	CSNK2A2,EGFR,MTOR,HRAS,IFNGR2,JAK1,JAK2,MAP3K3,NFKB1,PIK3CB,PRKCQ,MAPK1,MAPK3,MAP2K1,PTEN,RPS6KB1,STAT3,AKT3,RASGRP1	KEGG
Pertussis	Infectious disease: bacterial	Human Diseases	KEGG:05133	309	10	0.00140411553011596	RHOA,CASP3,CASP7,IL12A,NFKB1,MAPK1,MAPK3,MAPK9,MAPK10,IL23A	KEGG
Phosphatidylinositol signaling system	Signal transduction	Environmental Information Processing	KEGG:04070	309	25	2.37592145779091e-13	INPP4A,INPP5B,INPP5D,ITPK1,ITPKA,ITPKB,PIK3C2B,PIK3CB,PI4KA,PIP4K2A,PRKCB,PRKCG,PTEN,PIP5K1B,MTMR3,PPIP5K1,IP6K1,CDIPT,INPP5F,PPIP5K2,PI4K2A,INPP5E,PIP4K2C,IP6K3,IPMK	KEGG
Phospholipase D signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04072	309	24	1.02913394731499e-08	RHOA,EGFR,PTK2B,MTOR,GRB2,HRAS,KIT,PIK3CB,PIK3CG,PLA2G4A,MAPK1,MAPK3,MAP2K1,RALGDS,RHEB,RRAS,SOS1,SYK,PIP5K1B,AKT3,RRAS2,SHC2,PDGFC,SPHK2	KEGG
PI3K-Akt signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04151	309	64	1.36594456489947e-24	ANGPT1,BAD,BCL2,CDK6,CSF1R,EFNA5,EGFR,ERBB2,FGFR4,FOXO3,MTOR,GHR,GRB2,GYS1,HRAS,IFNAR1,IGF1R,IGF2,IL2RA,IL2RB,IL3RA,IL6R,IL7,ITGA6,JAK1,JAK2,KIT,LAMA2,LAMC2,MET,MTCP1,NFKB1,NTRK1,NTRK2,PIK3CB,PIK3CG,PRKAA2,PKN1,PKN2,MAPK1,MAPK3,MAP2K1,PRLR,PTEN,RHEB,RPS6KB1,SGK1,SOS1,SYK,TP53,VEGFB,VEGFC,VWF,OSMR,MAGI2,AKT3,BCL2L11,CDC37,PHLPP2,PHLPP1,FGF22,PDGFC,THEM4,LAMA1	KEGG
Platelet activation	Immune system	Organismal Systems	KEGG:04611	309	14	0.000691021208839958	RHOA,FGG,LYN,PIK3CB,PIK3CG,PLA2G4A,PRKCI,MAPK1,MAPK3,SYK,VWF,AKT3,RASGRP1,ARHGEF12	KEGG
Platinum drug resistance	Drug resistance: antineoplastic	Human Diseases	KEGG:01524	309	14	1.61450559510631e-06	FAS,BAD,BAK1,BCL2,CASP3,CASP8,ERBB2,MAP3K5,PIK3CB,MAPK1,MAPK3,TP53,AKT3,BBC3	KEGG
Progesterone-mediated oocyte maturation	Endocrine system	Organismal Systems	KEGG:04914	309	10	0.00801822927327679	IGF1R,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RPS6KA2,RPS6KA3,AKT3	KEGG
Prolactin signaling pathway	Endocrine system	Organismal Systems	KEGG:04917	309	16	3.37801265766921e-08	FOXO3,GRB2,HRAS,JAK2,NFKB1,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,PRLR,SOS1,STAT3,AKT3,SHC2	KEGG
Prostate cancer	Cancer: specific types	Human Diseases	KEGG:05215	309	18	1.04915441733699e-07	BAD,BCL2,EGFR,ERBB2,MTOR,GRB2,HRAS,IGF1R,NFKB1,PIK3CB,MAPK1,MAPK3,MAP2K1,PTEN,SOS1,TP53,AKT3,PDGFC	KEGG
Proteoglycans in cancer	Cancer: overview	Human Diseases	KEGG:05205	309	30	1.88259393240617e-09	FAS,RHOA,CASP3,EGFR,ERBB2,MTOR,GRB2,HRAS,IGF1R,IGF2,MET,PAK1,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,RDX,RPS6KB1,RRAS,SOS1,STAT3,TIAM1,TP53,EZR,IQGAP1,AKT3,RRAS2,ARHGEF12	KEGG
Rap1 signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04015	309	40	4.27106035210154e-16	ANGPT1,RHOA,CDH1,CSF1R,EFNA5,EGFR,FGFR4,RAPGEF1,HRAS,IGF1R,KIT,MET,AFDN,PIK3CB,PRKCB,PRKCG,PRKCI,PRKD1,MAPK1,MAPK3,MAP2K1,RAC2,RALGDS,RRAS,TIAM1,VEGFB,VEGFC,BCAR1,RAPGEF2,RAPGEF5,MAGI2,AKT3,PRKD2,FGF22,RAPGEF6,ENAH,PDGFC,PARD3,RASSF5,MAGI3	KEGG
Ras signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04014	309	50	1.4801838616467e-22	ANGPT1,RHOA,BAD,CSF1R,EFNA5,EGFR,ETS2,FGFR4,GRB2,HRAS,IGF1R,IGF2,KIT,MET,AFDN,NFKB1,NTRK1,NTRK2,PAK1,PAK2,PAK3,PIK3CB,PLA2G4A,PRKCB,PRKCG,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RAC2,RALGDS,RASA1,RASGRF2,RRAS,SOS1,STK4,TIAM1,VEGFB,VEGFC,KSR1,RAPGEF5,AKT3,RASGRP1,RRAS2,SHC2,FGF22,PDGFC,PAK5,RASSF5	KEGG
Regulation of actin cytoskeleton	Cell motility	Cellular Processes	KEGG:04810	309	32	2.52933377683315e-10	RHOA,EGFR,FGFR4,HRAS,ITGA6,PAK1,PAK2,PAK3,PIK3CB,PIP4K2A,MAPK1,MAPK3,MAP2K1,RAC2,RDX,RRAS,SOS1,TIAM1,EZR,PIP5K1B,IQGAP1,ARHGEF7,BCAR1,IQGAP2,RRAS2,ARHGEF12,FGF22,ENAH,PDGFC,PAK5,PIP4K2C,FGD3	KEGG
Relaxin signaling pathway	Endocrine system	Organismal Systems	KEGG:04926	309	15	0.000293135524429633	EGFR,GRB2,HRAS,NFKB1,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,SOS1,VEGFB,VEGFC,AKT3,SHC2	KEGG
Renal cell carcinoma	Cancer: specific types	Human Diseases	KEGG:05211	309	15	1.32580471917865e-07	BAD,GRB2,RAPGEF1,HRAS,MET,PAK1,PAK2,PAK3,PIK3CB,MAPK1,MAPK3,MAP2K1,SOS1,AKT3,PAK5	KEGG
RIG-I-like receptor signaling pathway	Immune system	Organismal Systems	KEGG:04622	309	8	0.0100109741280121	CASP8,CASP10,CYLD,IL12A,NFKB1,MAPK9,MAPK10,ATG5	KEGG
Salmonella infection	Infectious disease: bacterial	Human Diseases	KEGG:05132	309	29	1.53115248628445e-08	RHOA,BAK1,BCL2,CASP3,CASP7,CASP8,HRAS,NFKB1,PAK1,PAK3,PIK3C2B,PIK3CB,PIK3CG,PODXL,PKN1,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RRAS,TNFRSF1A,TXN,RIPK2,TNFRSF10A,ELMO1,AKT3,ELMO2,TAB3	KEGG
Shigellosis	Infectious disease: bacterial	Human Diseases	KEGG:05131	309	29	1.9055283547166e-07	RHOA,BCL2,EGFR,FOXO3,MTOR,NFKB1,PIK3CB,PRKCE,PRKCQ,MAPK1,MAPK3,MAPK9,MAPK10,RPS6KB1,TNFRSF1A,TP53,RIPK2,BCL10,ATG5,BCAR1,ELMO1,AKT3,TNIP1,MALT1,PIK3R4,ATG16L1,ELMO2,SHARPIN,TAB3	KEGG
Signaling pathways regulating pluripotency of stem cells	Cellular community - eukaryotes	Cellular Processes	KEGG:04550	309	14	0.00263490199197463	FGFR4,GRB2,HRAS,IGF1R,JAK1,JAK2,LIF,LIFR,PIK3CB,MAPK1,MAPK3,MAP2K1,STAT3,AKT3	KEGG
Small cell lung cancer	Cancer: specific types	Human Diseases	KEGG:05222	309	14	2.91071618195116e-05	BAK1,BCL2,CASP3,CDK6,FHIT,ITGA6,LAMA2,LAMC2,NFKB1,PIK3CB,PTEN,TP53,AKT3,LAMA1	KEGG
Sphingolipid metabolism	Lipid metabolism	Metabolism	KEGG:00600	309	7	0.00513824695756002	GALC,GBA,SMPD2,SMPD3,SPHK2,NEU4,SGMS1	KEGG
Sphingolipid signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04071	309	22	4.96328321865655e-09	RHOA,BCL2,HRAS,MAP3K5,NFKB1,PIK3CB,PRKCB,PRKCE,PRKCG,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,PTEN,RAC2,SMPD2,TNFRSF1A,TP53,AKT3,SPHK2,SGMS1	KEGG
Spinocerebellar ataxia	Neurodegenerative disease	Human Diseases	KEGG:05017	309	12	0.0156992699849286	MTOR,MAP3K5,PIK3CB,PRKCB,PRKCG,MAPK9,MAPK10,RB1CC1,AKT3,PPIF,PIK3R4,AMBRA1	KEGG
T cell receptor signaling pathway	Immune system	Organismal Systems	KEGG:04660	309	23	5.44974365637138e-11	RHOA,GRB2,HRAS,NFKB1,PAK1,PAK2,PAK3,PIK3CB,PRKCQ,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,SOS1,TEC,NCK2,BCL10,AKT3,RASGRP1,MALT1,PAK5,CARD11	KEGG
Th1 and Th2 cell differentiation	Immune system	Organismal Systems	KEGG:04658	309	16	8.01487252800988e-07	IFNGR2,IL2RA,IL2RB,IL12A,IL12RB1,IL12RB2,IL13,JAK1,JAK2,NFKB1,PRKCQ,MAPK1,MAPK3,MAPK9,MAPK10,TYK2	KEGG
Th17 cell differentiation	Immune system	Organismal Systems	KEGG:04659	309	19	6.07929737059499e-08	MTOR,IFNGR2,IL2RA,IL2RB,IL6R,IL12RB1,JAK1,JAK2,NFKB1,PRKCQ,MAPK1,MAPK3,MAPK9,MAPK10,STAT3,TYK2,IL27RA,IL21R,IL23A	KEGG
Thyroid cancer	Cancer: specific types	Human Diseases	KEGG:05216	309	8	0.000173725703619518	BAK1,CDH1,HRAS,NTRK1,MAPK1,MAPK3,MAP2K1,TP53	KEGG
Thyroid hormone signaling pathway	Endocrine system	Organismal Systems	KEGG:04919	309	12	0.00493583936118552	BAD,MTOR,HRAS,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,RHEB,TP53,AKT3	KEGG
Tight junction	Cellular community - eukaryotes	Cellular Processes	KEGG:04530	309	24	5.12015519522907e-08	RHOA,ERBB2,LLGL2,LLGL1,MAP3K5,AFDN,MYL6,PRKAA2,PRKCE,PRKCI,MAPK9,MAPK10,RDX,TIAM1,TJP1,EZR,MPDZ,RAPGEF2,PRKAG2,RAPGEF6,PARD3,MPP5,AMOT,AMOTL1	KEGG
TNF signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04668	309	22	1.79380870518744e-09	FAS,CASP3,CASP7,CASP8,CASP10,LIF,MAP3K5,NFKB1,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,TNFRSF1A,VEGFC,IL18R1,RPS6KA4,AKT3,NOD2,DAB2IP,TAB3	KEGG
Toll-like receptor signaling pathway	Immune system	Organismal Systems	KEGG:04620	309	11	0.00390811593905342	CASP8,IFNAR1,IL12A,NFKB1,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,AKT3	KEGG
Toxoplasmosis	Infectious disease: parasitic	Human Diseases	KEGG:05145	309	24	2.83396105474051e-11	BAD,BCL2,CASP3,CASP8,IFNGR2,IL12A,ITGA6,JAK1,JAK2,LAMA2,LAMC2,NFKB1,PIK3CG,MAPK1,MAPK3,MAPK9,MAPK10,STAT3,TNFRSF1A,TYK2,AKT3,PPIF,LAMA1,IRGM	KEGG
Tuberculosis	Infectious disease: bacterial	Human Diseases	KEGG:05152	309	28	9.95981495241508e-10	RHOA,BAD,BCL2,CASP3,CASP8,CASP10,FCGR2B,IFNGR2,IL12A,JAK1,JAK2,NFKB1,MAPK1,MAPK3,MAPK9,MAPK10,SYK,TNFRSF1A,RIPK2,KSR1,BCL10,AKT3,MALT1,ARHGEF12,IL23A,SPHK2,NOD2,CARD9	KEGG
Type II diabetes mellitus	Endocrine and metabolic disease	Human Diseases	KEGG:04930	309	7	0.00324473682837819	MTOR,PIK3CB,PRKCE,MAPK1,MAPK3,MAPK9,MAPK10	KEGG
Vascular smooth muscle contraction	Circulatory system	Organismal Systems	KEGG:04270	309	12	0.0109563278063241	RHOA,MYL6,PLA2G4A,PRKCB,PRKCE,PRKCG,PRKCQ,MAPK1,MAPK3,MAP2K1,ARHGEF11,ARHGEF12	KEGG
VEGF signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04370	309	13	9.2579219110087e-07	BAD,HRAS,PIK3CB,PLA2G4A,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,RAC2,AKT3,SHC2,SPHK2	KEGG
Viral carcinogenesis	Cancer: overview	Human Diseases	KEGG:05203	309	17	0.00429421470355334	RHOA,BAD,BAK1,CASP3,CASP8,CDK6,GRB2,HRAS,JAK1,LYN,NFKB1,PIK3CB,MAPK1,MAPK3,STAT3,SYK,TP53	KEGG
Viral myocarditis	Cardiovascular disease	Human Diseases	KEGG:05416	309	7	0.0101869704445205	CASP3,CASP8,DAG1,LAMA2,RAC2,EIF4G3,LAMA1	KEGG
Viral protein interaction with cytokine and cytokine receptor	Signaling molecules and interaction	Environmental Information Processing	KEGG:04061	309	10	0.00841175321550562	CSF1R,IL2RA,IL2RB,IL6R,TNFRSF1A,TNFRSF10A,IL18RAP,IL18R1,IL20RB,IL22RA1	KEGG
Yersinia infection	Infectious disease: bacterial	Human Diseases	KEGG:05135	309	23	4.40525928151892e-09	RHOA,PTK2B,NFKB1,PIK3CB,PKN1,PKN2,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RAC2,RPS6KA2,RPS6KA3,PIP5K1B,ARHGEF7,SKAP2,BCAR1,GIT2,ELMO1,AKT3,ARHGEF12,ELMO2	KEGG
